year,town,flat_type,median_rent
2017,BUKIT MERAH,5 Room,2825
2017,BUKIT MERAH,EXECUTIVE,NA
2017,BUKIT PANJANG,3 Room,1525
2017,BUKIT PANJANG,4 Room,1750
2017,BUKIT PANJANG,5 Room,1870
2017,BUKIT PANJANG,EXECUTIVE,1972.5
2017,BUKIT TIMAH,3 Room,NA
2017,BUKIT TIMAH,4 Room,NA
2017,BUKIT TIMAH,5 Room,NA
2017,BUKIT TIMAH,EXECUTIVE,NA
2017,CENTRAL,3 Room,2200
2017,CENTRAL,4 Room,2720
2017,CENTRAL,5 Room,NA
2017,CENTRAL,EXECUTIVE,NA
2017,CHOA CHU KANG,3 Room,NA
2017,CHOA CHU KANG,4 Room,1800
2017,CHOA CHU KANG,5 Room,1947.5
2017,CHOA CHU KANG,EXECUTIVE,2125
2017,CLEMENTI,3 Room,1850
2017,CLEMENTI,4 Room,2450
2017,CLEMENTI,5 Room,2665
2017,CLEMENTI,EXECUTIVE,NA
2017,GEYLANG,3 Room,1800
2017,GEYLANG,4 Room,2370
2017,GEYLANG,5 Room,2545
2017,GEYLANG,EXECUTIVE,NA
2017,HOUGANG,3 Room,1637.5
2017,HOUGANG,4 Room,1975
2017,HOUGANG,5 Room,2125
2017,HOUGANG,EXECUTIVE,2395
2017,JURONG EAST,3 Room,1750
2017,JURONG EAST,4 Room,2145
2017,JURONG EAST,5 Room,2325
2017,JURONG EAST,EXECUTIVE,NA
2017,JURONG WEST,3 Room,1700
2017,JURONG WEST,4 Room,2075
2017,JURONG WEST,5 Room,2275
2017,JURONG WEST,EXECUTIVE,2437.5
2017,KALLANG/WHAMPOA,3 Room,1912.5
2017,KALLANG/WHAMPOA,4 Room,2475
2017,KALLANG/WHAMPOA,5 Room,2695
2017,KALLANG/WHAMPOA,EXECUTIVE,NA
2017,MARINE PARADE,3 Room,1825
2017,MARINE PARADE,4 Room,2200
2017,MARINE PARADE,5 Room,NA
2017,MARINE PARADE,EXECUTIVE,NA
2017,PASIR RIS,3 Room,NA
2017,PASIR RIS,4 Room,1975
2017,PASIR RIS,5 Room,2145
2017,PASIR RIS,EXECUTIVE,2330
2017,PUNGGOL,3 Room,NA
2017,PUNGGOL,4 Room,1800
2017,PUNGGOL,5 Room,1850
2017,PUNGGOL,EXECUTIVE,NA
2017,QUEENSTOWN,3 Room,1950
2017,QUEENSTOWN,4 Room,2600
2017,QUEENSTOWN,5 Room,2862.5
2017,QUEENSTOWN,EXECUTIVE,NA
2017,SEMBAWANG,3 Room,NA
2017,SEMBAWANG,4 Room,1812.5
2017,SEMBAWANG,5 Room,1975
2017,SEMBAWANG,EXECUTIVE,2107.5
2017,SENGKANG,3 Room,NA
2017,SENGKANG,4 Room,1850
2017,SENGKANG,5 Room,1912.5
2017,SENGKANG,EXECUTIVE,2037.5
2017,SERANGOON,3 Room,1787.5
2017,SERANGOON,4 Room,2275
2017,SERANGOON,5 Room,2287.5
2017,SERANGOON,EXECUTIVE,NA
2017,TAMPINES,3 Room,1725
2017,TAMPINES,4 Room,2062.5
2017,TAMPINES,5 Room,2225
2017,TAMPINES,EXECUTIVE,NA
2017,TOA PAYOH,3 Room,1800
2017,TOA PAYOH,4 Room,2337.5
2017,TOA PAYOH,5 Room,2600
2017,TOA PAYOH,EXECUTIVE,NA
2017,WOODLANDS,3 Room,1450
2017,WOODLANDS,4 Room,1787.5
2017,WOODLANDS,5 Room,1900
2017,WOODLANDS,EXECUTIVE,2212.5
2017,YISHUN,3 Room,1587.5
2017,YISHUN,4 Room,1877.5
2017,YISHUN,5 Room,2075
2017,YISHUN,EXECUTIVE,NA
