centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
NASHWA CHILDCARE CENTRE,PT9311,"406,JURONG WEST STREET 42,#01-591,HONG KAH COURT,640406",640406,640406,406 JURONG WEST STREET 42 HONG KAH COURT SINGAPORE 640406,1.354314355,103.72239590000001
KANOOKA SCHOOL HOUSE PTE LTD,PT2850,"852,JURONG WEST STREET 81,#01-317,640852",640852,640852,852 JURONG WEST STREET 81 HDB-JURONG WEST SINGAPORE 640852,1.3474467490000002,103.69282790000001
MY FIRST SKOOL,NT0500,"648C,JURONG WEST STREET 61,#01-210,643648",643648,643648,648C JURONG WEST STREET 61 HDB-JURONG WEST SINGAPORE 643648,1.338967611,103.6979498
Bethesda (Bukit Arang) Kindergarten,RC1850,"114,SERANGOON AVENUE 3,556110",556110,556110,114 SERANGOON AVENUE 3 BETHESDA CHURCH BUKIT ARANG SINGAPORE 556110,1.349490314,103.8674587
RAFFLES HOUSE PRESCHOOL PTE LTD,PT6950,"9,Goldhill Avenue,309007",309007,309007,9 GOLDHILL AVENUE GOLDHILL GARDENS SINGAPORE 309007,1.319308711,103.8320586
BETHLEHEM EDUCARE CENTRE,RC1768,"320,TAMPINES STREET 33,#01-106,520320",520320,520320,320 TAMPINES STREET 33 HDB-TAMPINES SINGAPORE 520320,1.350701818,103.95705190000001
KIDDY CAMPUS,RC0680,"17,EUNOS CRESCENT,#01-2865,400017",400017,400017,17 EUNOS CRESCENT HDB-JALAN EUNOS SINGAPORE 400017,1.323370149,103.9044037
LITTLE BEEZ PLAYSKOOL,RC1370,"491H,TAMPINES STREET 45,#01-242,527491",527491,527491,491H TAMPINES STREET 45 HDB-TAMPINES SINGAPORE 527491,1.362969899,103.9543918
LITTLE WORLD CHILD CARE AND DEVELOPMENT CENTRE PTE LTD,PT4490,"113,RIVERVALE WALK,#01-33,540113",540113,540113,113 RIVERVALE WALK RIVERVALE COURT SINGAPORE 540113,1.383829505,103.90169350000001
KIDDY CAMPUS,RC1470,"612,Choa Chu Kang St 62,#01-195,680612",680612,680612,612 CHOA CHU KANG STREET 62 HDB-CHOA CHU KANG SINGAPORE 680612,1.400008661,103.7443527
